,0
533,4
534,5
535,6
536,5
537,4
538,3
539,6
540,1
541,5
542,7
543,3
544,7
545,4
546,6
547,3
548,2
549,0
550,7
551,6
552,7
553,3
554,5
555,4
556,2
557,0
558,3
559,3
560,7
561,4
562,3
563,7
564,3
565,2
566,1
567,0
568,5
569,2
570,3
571,3
572,5
573,2
574,7
575,1
576,3
577,4
578,6
579,4
580,1
581,1
582,6
583,3
584,6
585,2
586,3
587,0
588,0
589,5
590,4
591,3
592,4
593,1
594,3
595,2
596,3
597,1
598,6
599,5
600,1
601,4
602,3
603,2
604,3
605,3
606,0
607,3
608,6
609,3
610,2
611,6
612,3
613,5
614,4
615,5
616,6
617,3
618,2
619,0
620,4
621,5
622,1
623,3
624,5
625,5
626,5
627,3
628,4
629,2
630,5
631,3
632,1
633,2
634,3
635,3
636,0
637,5
638,2
639,7
640,6
641,2
642,1
643,4
644,3
645,4
646,3
647,3
648,0
649,3
650,4
651,3
652,0
653,3
654,4
655,0
656,3
657,6
658,4
659,5
660,6
661,2
662,1
663,4
664,6
665,1
666,2
667,4
668,1
669,3
670,4
671,2
672,7
673,2
674,4
675,3
676,6
677,2
678,2
679,3
680,1
681,5
682,2
683,1
684,0
685,6
686,0
687,2
688,3
689,1
690,5
691,1
692,5
693,4
694,3
695,2
696,5
697,0
698,1
699,7
700,3
701,6
702,7
703,3
704,3
705,6
706,4
707,7
708,2
709,2
710,0
711,3
712,2
713,3
714,3
715,0
716,2
717,7
718,2
719,6
720,6
721,3
722,7
723,6
724,1
725,3
726,3
727,0
728,2
729,5
730,2
731,6
732,7
733,3
734,7
735,3
736,1
737,1
738,5
739,1
740,1
741,5
742,2
743,3
744,1
745,5
746,6
747,7
748,6
749,2
750,6
751,3
752,4
753,3
754,1
755,5
756,0
757,2
758,6
759,6
760,3
761,3
762,5
763,6
764,4
765,4
766,2
767,1
768,7
769,6
770,3
771,5
772,1
773,1
774,3
775,3
776,1
777,4
778,1
779,1
780,7
781,3
782,3
783,6
784,3
785,0
786,5
787,5
788,6
789,2
790,3
791,6
792,7
793,7
794,5
795,0
796,3
797,6
798,6
799,1
800,3
801,5
802,5
803,2
804,5
805,3
806,4
807,3
808,4
809,6
810,3
811,6
812,1
813,0
814,1
815,4
816,1
817,3
818,7
819,3
820,0
821,5
822,2
823,3
824,7
825,3
826,5
827,3
828,5
829,6
830,2
831,4
832,7
833,1
834,6
835,5
836,4
837,5
838,3
839,2
840,1
841,4
842,1
843,6
844,3
845,3
846,6
847,6
848,0
849,3
850,1
851,1
852,6
853,6
854,4
855,6
856,2
857,2
858,0
859,1
860,1
861,3
862,4
863,5
864,2
865,0
866,1
867,0
868,6
869,1
870,1
871,5
872,6
873,3
874,6
875,2
876,2
877,3
878,7
879,7
880,3
881,2
882,5
883,2
884,2
885,3
886,5
887,3
888,0
889,3
890,4
891,6
892,0
893,3
894,6
895,1
896,2
897,5
898,7
899,1
900,1
901,6
902,4
903,2
904,3
905,6
906,4
907,7
908,0
909,3
910,2
911,3
912,3
913,1
914,5
915,7
916,4
917,2
918,5
919,4
920,2
921,3
922,2
923,5
924,0
925,6
926,7
927,1
928,1
929,1
930,6
931,3
932,2
933,5
934,3
935,5
936,3
937,1
938,2
939,2
940,0
941,4
942,2
943,1
944,3
945,0
946,1
947,4
948,3
949,0
950,4
951,1
952,0
953,4
954,3
955,0
956,2
957,3
958,2
959,1
960,1
961,1
962,7
963,4
964,1
965,1
966,4
967,2
968,1
969,1
970,6
971,4
972,6
973,2
974,5
975,7
976,0
977,0
978,6
979,3
980,0
981,3
982,1
983,2
984,4
985,3
986,0
987,1
988,2
989,6
990,3
991,4
992,1
993,4
994,3
995,6
996,4
997,4
998,1
999,5
1000,4
1001,1
1002,5
1003,2
1004,2
1005,2
1006,3
1007,5
1008,1
1009,2
1010,7
1011,1
1012,3
1013,3
1014,3
1015,1
1016,5
1017,3
1018,3
1019,5
1020,2
1021,4
1022,7
1023,2
1024,5
1025,0
1026,6
1027,0
1028,2
1029,4
1030,2
1031,1
1032,3
1033,7
1034,4
1035,7
1036,7
1037,3
1038,0
1039,3
1040,3
1041,0
1042,5
1043,6
1044,1
1045,2
1046,7
1047,3
1048,5
1049,1
1050,0
1051,7
1052,5
1053,0
1054,4
1055,3
1056,2
1057,7
1058,2
1059,6
1060,5
1061,3
1062,4
1063,2
1064,3
1065,4
1066,6
1067,3
1068,6
1069,4
1070,6
1071,0
1072,4
1073,3
1074,4
1075,5
1076,3
1077,2
1078,0
1079,3
1080,6
1081,2
1082,5
1083,2
1084,2
1085,0
1086,2
1087,7
1088,3
1089,3
1090,0
1091,2
1092,3
1093,7
1094,6
1095,5
1096,4
1097,0
1098,3
1099,3
1100,3
1101,3
1102,7
1103,6
1104,2
1105,2
1106,1
1107,3
1108,7
1109,4
1110,0
1111,3
1112,1
1113,4
1114,5
1115,4
1116,6
1117,4
1118,1
1119,3
1120,6
1121,0
1122,3
1123,0
1124,3
1125,2
1126,2
1127,7
1128,6
1129,3
1130,5
1131,2
1132,5
1133,7
1134,2
1135,5
1136,6
1137,1
1138,5
1139,6
1140,6
1141,3
1142,2
1143,7
1144,0
1145,4
1146,3
1147,3
1148,7
1149,3
1150,7
1151,1
1152,3
1153,5
1154,7
1155,4
1156,3
1157,3
1158,2
1159,4
1160,4
1161,2
1162,6
1163,7
1164,4
1165,0
1166,6
1167,2
1168,2
1169,0
1170,5
1171,2
1172,5
1173,3
1174,3
1175,2
1176,2
1177,3
1178,2
1179,2
1180,2
1181,3
1182,4
1183,5
1184,1
1185,0
1186,2
1187,3
1188,2
1189,4
1190,6
1191,4
1192,4
1193,1
1194,3
1195,2
1196,2
1197,1
1198,6
1199,6
1200,3
1201,4
1202,5
1203,3
1204,2
1205,5
1206,7
1207,6
1208,2
1209,2
1210,5
1211,3
1212,2
1213,2
1214,1
1215,3
1216,5
1217,5
1218,4
1219,3
1220,0
1221,3
1222,3
1223,2
1224,3
1225,5
1226,2
1227,2
1228,2
1229,2
1230,4
1231,3
1232,5
1233,5
1234,2
1235,6
1236,3
1237,3
1238,5
1239,3
1240,6
1241,5
1242,3
1243,4
1244,2
1245,4
1246,5
1247,4
1248,2
1249,1
1250,0
1251,2
1252,1
1253,5
1254,1
1255,4
1256,6
1257,0
1258,6
1259,2
1260,2
1261,6
1262,3
1263,0
1264,2
1265,1
1266,6
1267,6
1268,1
1269,5
1270,2
1271,3
1272,0
1273,3
1274,0
1275,6
1276,2
1277,3
1278,3
1279,3
1280,7
1281,4
1282,5
1283,5
1284,4
1285,4
1286,3
1287,3
1288,4
1289,3
1290,6
1291,3
1292,3
1293,1
1294,0
1295,5
1296,5
1297,3
1298,5
1299,7
1300,2
1301,7
1302,1
1303,6
1304,4
1305,3
1306,1
1307,4
1308,6
1309,6
1310,2
1311,1
1312,3
1313,4
1314,2
1315,4
1316,6
1317,2
1318,3
1319,2
1320,7
1321,3
1322,5
1323,3
1324,5
1325,4
1326,3
1327,7
1328,2
1329,1
1330,3
1331,1
1332,3
1333,7
1334,3
1335,6
1336,5
1337,3
1338,6
1339,2
1340,0
1341,7
1342,3
1343,2
1344,0
1345,2
1346,3
1347,1
1348,3
1349,6
1350,4
1351,0
1352,2
1353,7
1354,1
1355,1
1356,2
1357,6
1358,3
1359,2
1360,5
1361,0
1362,3
1363,1
1364,5
1365,2
1366,1
1367,2
1368,6
1369,3
1370,7
1371,3
1372,4
1373,6
1374,2
1375,2
1376,2
1377,1
1378,1
1379,1
1380,7
1381,3
1382,6
1383,1
1384,3
1385,4
1386,6
1387,6
1388,4
1389,4
1390,3
1391,7
1392,3
1393,2
1394,2
1395,3
1396,3
1397,3
1398,2
1399,3
1400,6
1401,6
1402,3
1403,5
1404,5
1405,4
1406,5
1407,2
1408,3
1409,4
1410,4
1411,4
1412,1
1413,3
1414,2
1415,4
1416,7
1417,4
1418,3
1419,1
1420,4
1421,1
1422,3
1423,0
1424,2
1425,0
1426,0
1427,2
1428,3
1429,3
1430,2
1431,2
1432,5
1433,7
1434,0
1435,3
1436,7
1437,2
1438,1
1439,5
1440,0
1441,5
1442,2
1443,3
1444,1
1445,3
1446,3
1447,4
1448,6
1449,2
1450,2
1451,5
1452,2
1453,1
1454,2
1455,1
1456,0
1457,1
1458,3
1459,5
1460,1
1461,0
1462,7
1463,2
1464,7
1465,0
1466,4
1467,3
1468,5
1469,4
1470,4
1471,3
1472,5
1473,7
1474,6
1475,0
1476,2
1477,2
1478,7
1479,7
1480,6
1481,4
1482,3
1483,1
1484,1
1485,3
1486,7
1487,2
1488,2
1489,1
1490,5
1491,0
1492,3
1493,3
1494,1
1495,3
1496,2
1497,3
1498,2
1499,6
1500,3
1501,5
1502,3
1503,6
1504,5
1505,7
1506,3
1507,4
1508,2
1509,7
1510,0
1511,6
1512,3
1513,2
1514,3
1515,6
1516,6
1517,3
1518,2
1519,1
1520,1
1521,6
1522,3
1523,0
1524,4
1525,0
1526,3
1527,6
1528,0
1529,1
1530,6
1531,2
1532,4
1533,5
1534,2
1535,6
1536,6
1537,4
1538,7
1539,2
1540,4
1541,2
1542,2
1543,4
1544,2
1545,7
1546,3
1547,3
1548,2
1549,3
1550,0
1551,3
1552,4
1553,5
1554,1
1555,1
1556,3
1557,2
1558,1
1559,2
1560,6
1561,0
1562,2
1563,2
1564,0
1565,2
1566,6
1567,3
1568,0
1569,3
1570,6
1571,6
1572,1
1573,3
1574,3
1575,3
1576,1
1577,0
1578,4
1579,3
1580,5
1581,7
1582,6
1583,1
1584,2
1585,5
1586,3
1587,7
1588,0
1589,5
1590,1
1591,5
1592,0
1593,5
1594,2
1595,7
1596,6
1597,3
1598,4
1599,3
1600,3
1601,2
1602,5
1603,5
1604,4
1605,2
1606,3
1607,1
1608,3
1609,7
1610,4
1611,5
1612,7
1613,3
1614,2
1615,1
1616,1
1617,0
1618,0
1619,3
1620,0
1621,3
1622,2
1623,6
1624,7
1625,0
1626,7
1627,3
1628,7
1629,0
1630,0
1631,5
1632,3
1633,3
1634,3
1635,3
1636,2
1637,1
1638,1
1639,1
1640,0
1641,3
1642,0
1643,2
1644,6
1645,3
1646,0
1647,3
1648,2
1649,0
1650,0
1651,2
1652,6
1653,7
1654,5
1655,1
1656,6
1657,1
1658,5
1659,5
1660,1
1661,3
1662,7
1663,2
1664,2
1665,0
1666,3
1667,1
1668,1
1669,0
1670,4
1671,3
1672,3
1673,2
1674,0
1675,5
1676,1
1677,3
1678,6
1679,1
1680,3
1681,1
1682,1
1683,4
1684,3
1685,2
1686,1
1687,1
1688,2
1689,5
1690,5
1691,4
1692,7
1693,4
1694,4
1695,2
1696,5
1697,2
1698,0
1699,6
1700,5
1701,5
1702,4
1703,3
1704,6
1705,2
1706,2
1707,1
1708,0
1709,3
1710,4
1711,1
1712,3
1713,1
1714,1
1715,2
1716,3
1717,4
1718,2
1719,7
