"","mol_mrna_M1_TF1","mol_mrna_M1_TF2","mol_mrna_M1_TF3","mol_mrna_M1_TF4","mol_mrna_M1_TF5","mol_mrna_M1_TF6","mol_mrna_M1_TF7","mol_mrna_M1_TF8","mol_mrna_M1_TF9","mol_mrna_M1_TF10","mol_mrna_M1_TF11","mol_mrna_M2_TF1","mol_mrna_M2_TF2","mol_mrna_M2_TF3","mol_mrna_M2_TF4","mol_mrna_M3_TF1","mol_mrna_M3_TF2","mol_mrna_M3_TF3","mol_mrna_M3_TF4","mol_mrna_M3_TF5","mol_mrna_M4_TF1","mol_mrna_M4_TF2","mol_mrna_M5_TF1","mol_mrna_M5_TF2","mol_mrna_M5_TF3","mol_mrna_Target1","mol_mrna_Target2","mol_mrna_Target3","mol_mrna_Target4","mol_mrna_Target5","mol_mrna_Target6","mol_mrna_Target7","mol_mrna_Target8","mol_mrna_Target9","mol_mrna_Target10","mol_mrna_Target11","mol_mrna_Target12","mol_mrna_Target13","mol_mrna_Target14","mol_mrna_Target15","mol_mrna_Target16","mol_mrna_Target17","mol_mrna_Target18","mol_mrna_Target19","mol_mrna_Target20","mol_mrna_Target21","mol_mrna_Target22","mol_mrna_Target23","mol_mrna_Target24","mol_mrna_Target25","mol_mrna_Target26","mol_mrna_Target27","mol_mrna_Target28","mol_mrna_Target29","mol_mrna_Target30","mol_mrna_Target31","mol_mrna_Target32","mol_mrna_Target33","mol_mrna_Target34","mol_mrna_Target35","mol_mrna_Target36","mol_mrna_Target37","mol_mrna_Target38","mol_mrna_Target39","mol_mrna_Target40","mol_mrna_Target41","mol_mrna_Target42","mol_mrna_Target43","mol_mrna_Target44","mol_mrna_Target45","mol_mrna_Target46","mol_mrna_Target47","mol_mrna_Target48","mol_mrna_Target49","mol_mrna_Target50","mol_mrna_Target51","mol_mrna_Target52","mol_mrna_Target53","mol_mrna_Target54","mol_mrna_Target55","mol_mrna_Target56","mol_mrna_Target57","mol_mrna_Target58","mol_mrna_Target59","mol_mrna_Target60","mol_mrna_Target61","mol_mrna_Target62","mol_mrna_Target63","mol_mrna_Target64","mol_mrna_Target65","mol_mrna_Target66","mol_mrna_Target67","mol_mrna_Target68","mol_mrna_Target69","mol_mrna_Target70","mol_mrna_Target71","mol_mrna_Target72","mol_mrna_Target73","mol_mrna_Target74","mol_mrna_Target75","mol_mrna_Target76","mol_mrna_Target77","mol_mrna_Target78","mol_mrna_Target79","mol_mrna_Target80","mol_mrna_Target81","mol_mrna_Target82","mol_mrna_Target83","mol_mrna_Target84","mol_mrna_Target85","mol_mrna_Target86","mol_mrna_Target87","mol_mrna_Target88","mol_mrna_Target89","mol_mrna_Target90","mol_mrna_Target91","mol_mrna_Target92","mol_mrna_Target93","mol_mrna_Target94","mol_mrna_Target95","mol_mrna_Target96","mol_mrna_Target97","mol_mrna_Target98","mol_mrna_Target99","mol_mrna_Target100","mol_mrna_Target101","mol_mrna_Target102","mol_mrna_Target103","mol_mrna_Target104","mol_mrna_Target105","mol_mrna_Target106","mol_mrna_Target107","mol_mrna_Target108","mol_mrna_Target109","mol_mrna_Target110","mol_mrna_Target111","mol_mrna_Target112","mol_mrna_Target113","mol_mrna_Target114","mol_mrna_Target115","mol_mrna_Target116","mol_mrna_Target117","mol_mrna_Target118","mol_mrna_Target119","mol_mrna_Target120","mol_mrna_Target121","mol_mrna_Target122","mol_mrna_Target123","mol_mrna_Target124","mol_mrna_Target125","mol_mrna_Target126","mol_mrna_Target127","mol_mrna_Target128","mol_mrna_Target129","mol_mrna_Target130","mol_mrna_Target131","mol_mrna_Target132","mol_mrna_Target133","mol_mrna_Target134","mol_mrna_Target135","mol_mrna_Target136","mol_mrna_Target137","mol_mrna_Target138","mol_mrna_Target139","mol_mrna_Target140","mol_mrna_Target141","mol_mrna_Target142","mol_mrna_Target143","mol_mrna_Target144","mol_mrna_Target145","mol_mrna_Target146","mol_mrna_Target147","mol_mrna_Target148","mol_mrna_Target149","mol_mrna_Target150","mol_mrna_Target151","mol_mrna_Target152","mol_mrna_Target153","mol_mrna_Target154","mol_mrna_Target155","mol_mrna_Target156","mol_mrna_Target157","mol_mrna_Target158","mol_mrna_Target159","mol_mrna_Target160","mol_mrna_Target161","mol_mrna_Target162","mol_mrna_Target163","mol_mrna_Target164","mol_mrna_Target165","mol_mrna_Target166","mol_mrna_Target167","mol_mrna_Target168","mol_mrna_Target169","mol_mrna_Target170","mol_mrna_Target171","mol_mrna_Target172","mol_mrna_Target173","mol_mrna_Target174","mol_mrna_Target175","mol_mrna_Target176","mol_mrna_Target177","mol_mrna_Target178","mol_mrna_Target179","mol_mrna_Target180","mol_mrna_Target181","mol_mrna_Target182","mol_mrna_Target183","mol_mrna_Target184","mol_mrna_Target185","mol_mrna_Target186","mol_mrna_Target187","mol_mrna_Target188","mol_mrna_Target189","mol_mrna_Target190","mol_mrna_Target191","mol_mrna_Target192","mol_mrna_Target193","mol_mrna_Target194","mol_mrna_Target195","mol_mrna_Target196","mol_mrna_Target197","mol_mrna_Target198","mol_mrna_Target199","mol_mrna_Target200","mol_mrna_Target201","mol_mrna_Target202","mol_mrna_Target203","mol_mrna_Target204","mol_mrna_Target205","mol_mrna_Target206","mol_mrna_Target207","mol_mrna_Target208","mol_mrna_Target209","mol_mrna_Target210","mol_mrna_Target211","mol_mrna_Target212","mol_mrna_Target213","mol_mrna_Target214","mol_mrna_Target215","mol_mrna_Target216","mol_mrna_Target217","mol_mrna_Target218","mol_mrna_Target219","mol_mrna_Target220","mol_mrna_Target221","mol_mrna_Target222","mol_mrna_Target223","mol_mrna_Target224","mol_mrna_Target225","mol_mrna_Target226","mol_mrna_Target227","mol_mrna_Target228","mol_mrna_Target229","mol_mrna_Target230","mol_mrna_Target231","mol_mrna_Target232","mol_mrna_Target233","mol_mrna_Target234","mol_mrna_Target235","mol_mrna_Target236","mol_mrna_Target237","mol_mrna_Target238","mol_mrna_Target239","mol_mrna_Target240","mol_mrna_Target241","mol_mrna_Target242","mol_mrna_Target243","mol_mrna_Target244","mol_mrna_Target245","mol_mrna_Target246","mol_mrna_Target247","mol_mrna_Target248","mol_mrna_Target249","mol_mrna_Target250","mol_mrna_Target251","mol_mrna_Target252","mol_mrna_Target253","mol_mrna_Target254","mol_mrna_Target255","mol_mrna_Target256","mol_mrna_Target257","mol_mrna_Target258","mol_mrna_Target259","mol_mrna_Target260","mol_mrna_Target261","mol_mrna_Target262","mol_mrna_Target263","mol_mrna_Target264","mol_mrna_Target265","mol_mrna_Target266","mol_mrna_Target267","mol_mrna_Target268","mol_mrna_Target269","mol_mrna_Target270","mol_mrna_Target271","mol_mrna_Target272","mol_mrna_Target273","mol_mrna_Target274","mol_mrna_Target275","mol_mrna_Target276","mol_mrna_Target277","mol_mrna_Target278","mol_mrna_Target279","mol_mrna_Target280","mol_mrna_Target281","mol_mrna_Target282","mol_mrna_Target283","mol_mrna_Target284","mol_mrna_Target285","mol_mrna_Target286","mol_mrna_Target287","mol_mrna_Target288","mol_mrna_Target289","mol_mrna_Target290","mol_mrna_Target291","mol_mrna_Target292","mol_mrna_Target293","mol_mrna_Target294","mol_mrna_Target295","mol_mrna_Target296","mol_mrna_Target297","mol_mrna_Target298","mol_mrna_Target299","mol_mrna_Target300","mol_mrna_Target301","mol_mrna_Target302","mol_mrna_Target303","mol_mrna_Target304","mol_mrna_Target305","mol_mrna_Target306","mol_mrna_Target307","mol_mrna_Target308","mol_mrna_Target309","mol_mrna_Target310","mol_mrna_Target311","mol_mrna_Target312","mol_mrna_Target313","mol_mrna_Target314","mol_mrna_Target315","mol_mrna_Target316","mol_mrna_Target317","mol_mrna_Target318","mol_mrna_Target319","mol_mrna_Target320","mol_mrna_Target321","mol_mrna_Target322","mol_mrna_Target323","mol_mrna_Target324","mol_mrna_Target325","mol_mrna_Target326","mol_mrna_Target327","mol_mrna_Target328","mol_mrna_Target329","mol_mrna_Target330","mol_mrna_Target331","mol_mrna_Target332","mol_mrna_Target333","mol_mrna_Target334","mol_mrna_Target335","mol_mrna_Target336","mol_mrna_Target337","mol_mrna_Target338","mol_mrna_Target339","mol_mrna_Target340","mol_mrna_Target341","mol_mrna_Target342","mol_mrna_Target343","mol_mrna_Target344","mol_mrna_Target345","mol_mrna_Target346","mol_mrna_Target347","mol_mrna_Target348","mol_mrna_Target349","mol_mrna_Target350","mol_mrna_HK1","mol_mrna_HK2","mol_mrna_HK3","mol_mrna_HK4","mol_mrna_HK5","mol_mrna_HK6","mol_mrna_HK7","mol_mrna_HK8","mol_mrna_HK9","mol_mrna_HK10"
"41",30,29,28,31,14,28,18,21,18,30,18,0,0,0,0,20,38,26,6,24,9,11,0,0,0,17,35,19,1,0,0,39,17,15,0,20,1,4,22,0,1,33,1,14,26,0,32,1,1,17,29,34,8,14,16,23,16,0,37,23,16,43,23,21,28,17,14,7,14,0,21,24,0,24,29,27,21,29,25,37,17,0,39,21,20,16,25,25,0,29,35,22,27,21,45,28,43,0,22,1,28,0,35,0,9,16,23,0,1,9,14,29,18,36,1,0,0,23,22,16,0,16,36,56,32,26,13,31,1,20,15,18,14,15,38,21,16,11,15,21,0,24,30,0,16,18,25,38,0,32,24,0,0,0,9,9,23,23,0,0,0,28,0,16,0,0,0,26,13,12,19,13,0,0,15,27,20,17,30,0,11,0,0,0,26,29,16,0,31,0,0,0,0,10,0,1,0,34,22,19,25,14,18,4,0,31,0,0,10,23,25,20,26,39,29,25,28,17,14,1,0,19,35,18,7,29,14,14,23,0,35,17,29,0,0,36,0,28,21,14,26,28,0,0,28,18,28,29,25,0,39,52,17,0,0,19,18,28,0,25,35,26,13,25,23,19,26,25,0,16,23,51,0,43,0,42,19,19,2,18,31,34,21,0,0,0,27,25,0,0,0,14,28,0,20,25,25,28,0,18,1,9,24,2,34,27,23,0,41,20,25,25,20,0,0,17,0,21,0,0,0,0,11,26,13,12,0,12,18,13,41,17,1,21,14,24,17,5,17,18,0,14,30,0,0,0,0,1,9,0,19,5,16,10,0,0,33,14,0,20,0,1,8,2,22,20,24,13,15,32,24,36,25,24,29,26,0,25,0,23,24,37,40,9,1
"42",0,0,0,0,0,0,0,0,0,0,0,9,12,14,9,4,8,1,0,3,19,16,23,19,25,14,30,0,17,0,0,0,0,0,1,23,1,3,12,5,28,11,3,2,28,0,28,0,2,22,23,22,12,19,10,21,20,0,38,14,21,36,15,12,28,22,23,7,11,0,17,36,0,28,41,34,21,37,31,32,8,2,24,34,18,12,28,27,0,32,36,19,13,20,34,17,37,1,21,6,17,6,30,0,17,20,20,0,2,26,13,23,12,38,2,11,0,12,17,10,1,17,23,44,27,27,30,26,1,26,15,22,23,12,33,14,20,11,18,16,1,18,22,2,16,25,26,31,0,26,21,6,9,10,1,0,0,0,14,32,15,22,0,0,16,19,23,1,3,0,0,0,26,22,0,8,0,0,8,19,0,26,0,6,0,10,0,1,21,1,1,0,0,13,0,10,15,6,5,10,4,1,0,38,0,0,14,44,5,2,0,2,23,0,0,13,1,1,0,22,25,16,19,0,0,0,0,0,0,19,16,1,8,1,1,27,5,23,17,19,27,19,2,0,26,16,1,1,0,21,0,0,2,19,32,0,10,2,17,3,1,0,2,3,5,1,0,5,6,4,0,25,25,2,23,0,1,6,12,0,11,5,1,12,21,29,0,1,33,11,20,0,0,25,5,6,1,0,20,0,12,37,23,21,0,1,12,20,3,0,0,4,0,31,18,2,32,1,32,15,30,28,1,1,0,0,39,0,0,0,3,1,23,0,0,0,0,0,1,0,24,0,0,27,12,0,0,1,4,0,13,3,1,9,0,43,30,26,0,4,1,1,14,15,0,20,13,5,10,6,1,40,12,27,27,23,0,24,0,23,17,36,39,9,4
"43",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,24,41,26,8,31,27,20,10,15,30,15,35,12,0,0,0,27,13,12,2,24,0,1,14,0,12,28,1,17,31,0,26,0,0,36,20,18,12,10,18,20,20,0,40,17,27,29,19,14,34,26,20,2,13,0,14,34,0,28,36,29,25,37,19,36,13,0,39,28,15,13,20,32,0,22,31,24,14,27,46,36,36,0,20,2,21,0,26,0,11,20,18,0,1,20,19,24,15,30,0,1,0,21,17,16,1,11,30,28,21,35,28,26,0,25,24,23,25,16,31,30,22,15,17,19,0,19,37,1,24,25,17,37,0,34,21,0,0,0,16,5,13,8,5,22,11,26,0,23,2,12,2,22,11,16,21,9,4,0,9,15,11,14,22,13,8,13,0,0,12,29,5,0,45,0,0,0,0,13,0,10,9,26,26,19,20,16,16,9,0,12,6,6,16,23,19,28,25,38,23,21,28,14,12,8,2,17,28,12,8,21,8,10,19,6,34,5,23,0,0,28,1,19,13,21,20,31,0,0,28,14,24,16,16,0,32,37,10,10,3,11,18,18,0,39,20,26,23,28,33,20,24,22,0,16,17,44,6,30,3,33,26,20,5,7,24,34,18,0,17,18,0,1,30,22,19,0,0,15,23,19,28,16,14,9,6,20,16,1,31,29,18,2,38,11,18,25,8,24,19,5,25,6,27,15,20,22,13,13,9,6,0,8,18,6,30,10,0,13,22,22,13,6,15,16,4,14,1,30,0,0,2,0,14,0,18,3,7,8,0,2,24,33,0,20,0,0,13,11,29,17,23,14,12,2,17,40,32,24,34,26,0,19,0,26,30,39,41,15,5
"44",1,8,8,4,2,3,1,0,2,5,1,0,0,0,0,24,27,27,16,25,28,29,12,15,7,10,34,13,0,0,1,44,8,8,2,25,4,9,14,0,2,28,18,18,20,0,14,1,2,16,30,11,12,13,7,15,16,0,29,13,15,35,34,16,26,14,18,8,14,4,15,37,17,16,20,25,27,22,23,24,7,11,15,20,22,11,20,21,1,33,31,14,18,23,33,14,31,3,12,22,27,4,17,2,6,17,21,2,13,15,13,25,14,21,15,0,1,11,13,12,1,20,34,35,23,19,24,27,6,23,21,12,17,9,24,20,20,10,24,14,5,14,29,2,17,22,17,20,0,27,8,0,0,0,19,12,30,16,1,16,4,24,0,22,0,1,0,24,13,12,20,19,0,0,15,17,23,26,20,4,27,2,0,0,29,23,7,0,33,0,1,0,0,12,12,5,0,33,33,15,19,19,11,2,0,18,0,0,18,29,23,34,39,25,28,21,32,15,12,4,0,11,22,5,8,23,13,8,22,1,37,16,28,1,3,28,18,23,12,13,28,18,1,5,21,4,36,26,24,0,34,31,14,0,0,20,17,19,0,34,35,32,21,21,32,22,36,25,0,11,17,40,1,37,1,41,19,21,2,20,39,38,21,0,12,18,2,7,18,25,20,3,5,12,23,15,18,35,1,13,0,5,19,2,42,33,23,0,32,24,19,21,25,12,22,13,1,26,6,8,1,10,14,22,9,11,0,16,22,19,23,17,1,22,16,23,15,14,14,17,3,15,13,17,0,0,21,0,10,15,2,1,9,9,0,0,18,32,1,21,0,0,13,6,21,16,26,16,7,11,27,10,28,20,16,25,0,19,0,31,37,26,46,11,5
"45",0,0,0,0,0,0,0,0,0,0,0,20,14,18,16,0,0,0,0,0,0,0,2,1,3,1,0,0,9,0,20,0,0,0,15,0,14,19,0,11,35,0,25,0,0,25,0,1,22,0,3,7,0,0,0,0,0,15,5,0,0,1,2,4,0,1,0,22,0,34,0,0,31,0,0,4,0,0,1,0,0,24,0,0,0,1,7,0,27,7,1,0,0,0,12,0,0,19,0,30,0,32,0,17,0,0,0,18,11,0,0,0,0,0,23,7,16,0,0,0,29,0,0,1,0,0,1,0,31,1,5,0,0,0,0,0,3,0,0,0,16,0,4,19,0,0,1,0,22,27,32,21,15,23,0,0,0,0,1,32,6,1,11,0,18,24,41,0,0,0,0,0,29,22,0,0,0,0,0,17,0,24,15,9,0,0,0,16,0,33,22,12,19,16,11,16,10,0,0,0,0,0,0,23,13,0,23,44,0,0,0,0,0,0,0,0,0,0,0,23,43,0,0,0,0,0,0,0,0,25,2,0,0,26,28,0,41,0,0,0,0,0,18,31,0,0,0,0,0,31,0,0,0,11,30,0,0,0,21,0,0,0,0,0,0,0,0,0,13,0,0,0,25,0,26,0,0,0,11,0,0,0,0,28,3,0,22,30,0,0,1,22,23,4,0,0,0,0,26,0,16,39,1,15,0,0,0,23,0,0,0,0,0,28,20,8,18,15,24,12,16,35,0,0,0,0,30,0,0,0,0,0,18,0,0,0,0,0,0,0,25,0,26,8,14,23,15,34,0,10,0,41,0,0,19,41,0,31,15,0,20,7,18,23,0,6,0,0,0,27,0,2,0,0,23,30,0,31,0,29,26,27,40,13,5
"46",0,2,0,2,1,1,0,0,0,2,1,0,0,0,0,21,46,29,6,33,24,20,13,12,23,11,30,12,2,0,0,35,13,13,2,29,2,3,11,0,5,23,4,7,38,0,34,1,0,24,30,23,13,10,7,29,19,0,43,14,17,39,26,18,44,18,18,5,15,1,15,29,2,22,29,20,20,31,32,28,13,0,20,20,18,14,27,20,0,36,33,14,15,24,40,21,40,2,20,5,26,2,27,0,12,23,18,0,0,19,12,18,7,34,2,0,0,22,18,12,1,23,41,36,27,21,31,27,4,27,24,21,17,17,21,21,17,10,25,10,0,11,30,0,10,12,17,34,0,29,26,0,0,0,16,9,17,13,3,20,15,34,0,21,0,2,2,22,3,10,13,12,2,0,17,19,16,14,17,17,15,5,0,0,16,14,6,0,26,1,0,0,0,16,8,7,1,31,28,29,24,17,14,6,0,24,3,0,5,26,23,24,26,30,25,17,32,24,14,5,2,20,21,7,13,21,5,10,13,8,25,12,24,3,2,26,12,25,16,16,18,17,0,1,34,16,25,16,19,0,32,29,10,5,1,17,15,29,0,36,23,24,21,25,33,19,23,29,1,24,12,46,2,31,0,33,18,24,1,18,23,31,14,0,23,27,2,5,27,28,12,0,1,19,43,16,12,18,8,11,3,12,24,12,25,26,27,0,36,11,14,13,11,33,22,8,11,16,19,14,13,20,12,18,7,9,1,3,17,13,28,16,3,18,20,25,14,12,20,9,3,7,1,24,0,0,12,0,12,14,2,4,15,13,0,1,32,30,0,16,0,0,16,7,21,13,34,20,17,11,24,33,24,20,30,29,0,15,0,24,24,35,34,15,2
"47",2,12,11,8,2,3,2,0,2,7,1,0,0,0,0,19,28,27,13,26,28,29,11,14,11,8,32,14,0,0,4,43,9,10,4,21,6,12,14,0,2,25,18,15,21,0,15,1,1,17,31,12,10,15,7,14,18,0,27,13,13,38,35,17,25,15,15,7,13,5,17,31,18,18,19,25,21,23,25,26,8,10,14,18,18,8,20,17,2,32,29,16,13,13,32,11,34,4,13,26,25,5,16,2,9,17,20,2,14,11,13,22,11,14,15,0,1,15,12,10,1,22,31,31,23,18,25,26,6,16,19,8,16,11,21,21,21,12,22,15,6,13,30,1,15,24,15,22,0,24,8,0,0,0,22,14,32,15,2,16,5,24,0,20,0,1,1,25,12,12,18,23,0,0,14,20,29,29,13,4,23,2,0,0,30,25,11,0,29,0,1,0,0,14,15,5,0,30,27,18,13,19,9,1,0,16,0,0,18,23,19,32,39,30,26,15,22,13,17,5,0,11,21,6,10,19,12,7,25,1,34,16,29,2,2,29,18,21,14,16,27,17,1,6,20,5,33,26,24,0,39,35,13,0,0,22,20,18,0,37,37,26,20,23,34,21,31,28,0,11,17,39,1,35,1,40,18,20,2,21,43,37,22,0,14,23,2,7,22,22,20,5,5,16,24,16,17,35,1,14,0,4,16,2,38,27,27,0,30,25,17,26,21,11,15,15,1,24,7,9,0,12,15,20,6,14,0,16,23,20,24,16,1,21,13,29,14,16,15,19,4,16,13,19,0,0,25,0,12,18,2,2,7,12,0,0,15,31,1,25,0,0,14,4,25,14,26,15,10,12,24,10,28,18,12,28,0,19,0,30,34,34,45,12,5
"48",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,30,25,10,33,29,37,16,14,22,19,38,6,4,0,0,11,4,6,0,19,0,6,20,0,13,21,1,10,25,0,26,0,0,27,28,16,12,18,17,14,13,0,41,17,23,33,26,26,29,23,19,6,11,0,14,27,0,22,32,25,23,27,15,26,12,0,37,32,19,10,28,46,0,29,30,23,11,25,37,20,43,0,22,1,27,0,21,1,21,12,19,0,0,23,17,17,11,30,3,0,0,20,24,14,2,16,29,40,29,32,23,17,2,31,18,26,18,22,28,23,14,9,23,12,0,19,27,5,16,30,24,29,0,20,19,0,0,0,5,2,11,10,11,28,7,21,0,21,2,13,5,18,8,7,17,12,1,3,5,19,7,17,17,27,2,19,0,0,10,28,3,0,29,0,0,0,0,12,2,5,12,31,28,16,20,12,18,13,0,20,7,2,10,29,20,25,32,21,28,19,17,12,12,9,3,18,24,3,4,19,6,8,9,12,27,6,22,4,3,39,10,25,20,13,17,25,0,1,18,16,14,13,16,0,29,32,6,8,3,18,15,7,2,38,12,25,14,28,12,18,16,27,0,13,10,45,5,26,6,25,27,17,6,2,34,26,12,0,13,18,0,5,24,23,17,0,0,15,22,36,15,9,16,3,9,18,25,12,25,23,16,3,31,8,16,17,9,32,21,6,29,6,33,21,22,20,15,5,1,2,16,4,4,6,30,6,5,1,7,7,8,5,19,14,4,12,0,15,3,0,13,0,11,1,6,2,2,9,0,4,26,30,0,24,0,0,16,13,12,16,28,18,10,3,19,36,25,21,17,26,0,22,0,17,28,31,42,12,7
"49",0,0,0,0,0,0,0,0,0,0,0,3,9,6,4,9,15,4,1,15,20,23,16,18,29,24,38,0,14,0,1,0,1,0,1,16,2,7,13,1,21,11,1,2,19,0,34,0,0,21,26,26,13,18,7,20,14,0,42,13,19,38,26,15,30,16,16,3,10,0,16,22,0,21,31,35,23,39,24,33,17,0,33,25,20,9,17,28,0,37,36,26,13,19,30,20,43,1,19,5,22,1,29,0,19,21,22,0,3,29,13,23,12,35,1,12,0,20,26,9,0,23,38,40,36,36,29,24,2,28,19,20,16,15,26,21,19,11,21,14,0,16,22,1,15,26,24,29,0,29,22,0,0,6,2,0,0,1,18,30,18,26,0,6,21,20,13,3,7,2,0,0,21,19,0,14,0,1,5,23,0,28,0,5,0,11,0,0,22,0,0,0,0,12,0,18,15,7,12,16,6,1,0,28,1,0,11,43,3,7,0,6,15,2,2,21,1,0,0,28,20,20,19,0,0,0,1,0,0,29,19,1,12,0,0,38,0,17,17,21,27,20,0,0,31,16,0,1,0,17,3,2,1,13,31,0,9,4,10,4,1,1,5,3,5,2,0,15,8,3,0,30,27,5,15,1,2,6,12,0,21,6,3,2,21,24,0,0,33,25,20,1,0,17,14,12,3,0,20,0,22,29,19,25,3,2,18,24,7,0,1,10,0,28,25,4,32,1,34,22,28,27,2,1,0,0,36,0,0,1,11,1,16,1,0,1,1,0,2,0,34,1,0,18,18,0,0,1,11,0,16,4,1,13,0,32,28,22,0,8,0,0,7,24,0,19,19,8,9,3,2,40,14,23,26,22,0,25,0,23,23,28,37,13,5
"50",0,0,0,0,0,0,0,0,0,0,0,10,10,3,7,3,6,5,0,7,18,23,8,13,37,15,33,0,20,0,1,0,0,0,0,13,1,8,8,8,34,2,2,1,31,0,29,0,2,34,35,24,15,12,9,29,21,0,38,22,17,29,21,23,43,21,28,4,14,0,17,34,0,28,38,20,25,27,24,32,13,1,25,27,21,6,30,29,1,33,37,10,16,25,35,28,36,0,21,5,9,2,27,0,11,26,23,0,0,17,15,18,17,36,5,18,0,14,31,16,1,16,32,34,30,25,24,20,3,25,17,19,13,16,40,25,28,11,32,13,2,15,28,0,13,35,22,31,0,28,35,14,13,13,0,0,0,0,14,29,14,15,0,3,18,23,22,1,1,0,1,0,19,24,0,13,0,1,4,26,0,31,0,3,0,12,0,1,29,3,7,0,1,21,1,13,19,2,7,3,2,0,0,31,0,0,16,40,2,2,1,2,15,0,0,16,1,2,0,33,38,15,14,0,1,1,0,0,2,30,30,0,8,1,1,24,15,25,16,21,20,18,0,2,33,15,0,0,0,19,0,0,0,10,21,0,9,0,16,0,0,0,1,0,3,0,0,5,10,1,0,14,20,1,35,1,0,1,11,0,7,0,2,3,16,25,0,0,27,16,19,0,0,21,4,8,3,0,23,0,17,29,22,22,0,0,6,30,5,0,0,2,0,23,22,10,44,0,34,24,24,17,0,0,0,1,30,0,0,0,15,1,21,0,0,0,0,0,2,0,20,0,0,14,21,4,0,0,6,0,17,2,0,3,0,33,30,34,0,1,10,5,7,20,0,28,7,1,9,3,1,37,1,20,30,24,0,18,0,18,29,36,41,13,4
"51",0,0,0,0,0,0,0,0,0,0,0,24,16,21,13,0,0,0,0,0,0,0,3,0,8,0,0,0,5,0,25,0,0,0,24,0,12,21,0,9,40,0,27,0,0,24,0,0,12,0,5,14,0,1,1,0,0,31,8,0,0,2,5,21,0,1,0,28,0,18,2,0,28,0,0,8,1,0,1,0,0,21,0,0,0,2,8,0,14,9,1,0,0,1,20,0,0,23,0,31,0,22,0,23,0,1,0,10,19,0,0,0,0,0,22,10,8,0,0,0,27,0,0,0,1,0,5,0,26,2,1,0,0,0,0,0,6,0,1,1,12,4,5,11,0,0,1,0,25,28,24,20,17,15,0,0,0,0,5,28,16,1,9,0,15,26,37,0,0,0,0,0,21,31,0,0,0,0,0,23,0,23,9,12,0,0,0,16,0,39,30,11,23,18,13,11,15,0,0,0,0,0,0,19,8,0,13,32,0,0,0,0,0,0,0,0,0,0,0,29,35,2,1,0,0,0,0,0,0,27,2,0,0,20,13,0,35,0,0,0,0,1,19,29,0,0,0,0,0,23,0,0,0,23,28,0,0,0,15,0,0,0,0,0,0,0,0,0,17,0,0,0,31,0,29,0,0,0,13,0,0,0,0,31,5,0,20,19,2,3,2,16,10,6,0,0,0,0,14,0,21,33,2,24,0,0,0,17,0,0,0,0,0,25,22,8,28,8,27,24,26,31,0,0,0,0,32,0,0,0,0,0,19,0,0,0,0,0,0,0,29,0,21,16,21,21,17,29,0,10,0,29,0,0,26,29,1,32,10,0,20,14,19,23,0,7,0,0,0,37,0,6,0,2,18,15,0,16,0,28,35,29,44,13,4
"52",29,26,27,28,12,18,14,18,22,27,11,0,0,0,0,21,42,30,10,35,17,16,1,3,1,21,45,25,1,0,0,40,16,10,0,22,0,4,8,0,4,29,2,22,25,0,27,1,1,19,28,35,10,17,3,11,26,0,30,13,20,34,25,24,30,17,14,9,8,0,20,33,0,22,31,38,32,36,24,39,12,0,37,26,24,17,29,23,0,29,47,20,18,23,47,26,48,1,25,1,27,0,28,0,18,17,17,0,1,19,13,25,12,29,1,0,0,25,20,15,0,20,35,42,26,29,17,31,1,23,25,18,9,19,35,26,9,10,15,18,2,17,32,0,17,27,31,34,0,24,30,0,0,0,14,12,30,19,0,2,0,35,0,19,0,2,1,21,17,16,17,19,0,0,21,27,18,21,24,0,14,0,1,0,19,28,14,0,36,0,0,0,0,10,0,2,0,26,22,22,22,13,31,1,0,16,0,0,16,17,30,28,21,36,24,23,34,14,15,1,0,27,28,19,12,26,11,12,21,1,37,21,29,0,1,18,1,30,13,14,29,19,0,0,30,25,35,28,16,0,38,36,16,0,0,23,20,24,0,27,29,35,15,23,29,18,24,23,0,17,22,50,0,24,0,44,19,16,0,16,27,26,16,0,4,5,24,33,11,8,0,8,15,8,25,27,14,26,2,14,0,6,21,0,33,28,18,0,39,21,19,20,15,0,0,20,0,19,0,0,0,0,13,18,12,11,0,17,30,13,34,24,1,22,14,28,18,8,19,19,0,18,27,3,0,0,0,1,11,0,15,4,13,20,0,0,35,18,0,11,0,0,10,4,26,16,31,18,4,36,28,44,20,21,23,27,0,24,0,23,28,46,42,15,5
