"","M1_TF1","M1_TF2","M1_TF3","M1_TF4","M1_TF5","M1_TF6","M1_TF7","M1_TF8","M1_TF9","M1_TF10","M1_TF11","M2_TF1","M2_TF2","M2_TF3","M2_TF4","M3_TF1","M3_TF2","M3_TF3","M3_TF4","M3_TF5","M4_TF1","M4_TF2","M5_TF1","M5_TF2","M5_TF3","Target1","Target2","Target3","Target4","Target5","Target6","Target7","Target8","Target9","Target10","Target11","Target12","Target13","Target14","Target15","Target16","Target17","Target18","Target19","Target20","Target21","Target22","Target23","Target24","Target25","Target26","Target27","Target28","Target29","Target30","Target31","Target32","Target33","Target34","Target35","Target36","Target37","Target38","Target39","Target40","Target41","Target42","Target43","Target44","Target45","Target46","Target47","Target48","Target49","Target50","Target51","Target52","Target53","Target54","Target55","Target56","Target57","Target58","Target59","Target60","Target61","Target62","Target63","Target64","Target65","Target66","Target67","Target68","Target69","Target70","Target71","Target72","Target73","Target74","Target75","Target76","Target77","Target78","Target79","Target80","Target81","Target82","Target83","Target84","Target85","Target86","Target87","Target88","Target89","Target90","Target91","Target92","Target93","Target94","Target95","Target96","Target97","Target98","Target99","Target100","Target101","Target102","Target103","Target104","Target105","Target106","Target107","Target108","Target109","Target110","Target111","Target112","Target113","Target114","Target115","Target116","Target117","Target118","Target119","Target120","Target121","Target122","Target123","Target124","Target125","Target126","Target127","Target128","Target129","Target130","Target131","Target132","Target133","Target134","Target135","Target136","Target137","Target138","Target139","Target140","Target141","Target142","Target143","Target144","Target145","Target146","Target147","Target148","Target149","Target150","Target151","Target152","Target153","Target154","Target155","Target156","Target157","Target158","Target159","Target160","Target161","Target162","Target163","Target164","Target165","Target166","Target167","Target168","Target169","Target170","Target171","Target172","Target173","Target174","Target175","Target176","Target177","Target178","Target179","Target180","Target181","Target182","Target183","Target184","Target185","Target186","Target187","Target188","Target189","Target190","Target191","Target192","Target193","Target194","Target195","Target196","Target197","Target198","Target199","Target200","Target201","Target202","Target203","Target204","Target205","Target206","Target207","Target208","Target209","Target210","Target211","Target212","Target213","Target214","Target215","Target216","Target217","Target218","Target219","Target220","Target221","Target222","Target223","Target224","Target225","Target226","Target227","Target228","Target229","Target230","Target231","Target232","Target233","Target234","Target235","Target236","Target237","Target238","Target239","Target240","Target241","Target242","Target243","Target244","Target245","Target246","Target247","Target248","Target249","Target250","Target251","Target252","Target253","Target254","Target255","Target256","Target257","Target258","Target259","Target260","Target261","Target262","Target263","Target264","Target265","Target266","Target267","Target268","Target269","Target270","Target271","Target272","Target273","Target274","Target275","Target276","Target277","Target278","Target279","Target280","Target281","Target282","Target283","Target284","Target285","Target286","Target287","Target288","Target289","Target290","Target291","Target292","Target293","Target294","Target295","Target296","Target297","Target298","Target299","Target300","Target301","Target302","Target303","Target304","Target305","Target306","Target307","Target308","Target309","Target310","Target311","Target312","Target313","Target314","Target315","Target316","Target317","Target318","Target319","Target320","Target321","Target322","Target323","Target324","Target325","Target326","Target327","Target328","Target329","Target330","Target331","Target332","Target333","Target334","Target335","Target336","Target337","Target338","Target339","Target340","Target341","Target342","Target343","Target344","Target345","Target346","Target347","Target348","Target349","Target350","HK1","HK2","HK3","HK4","HK5","HK6","HK7","HK8","HK9","HK10"
"cell64",0,0,0,0,0,0,0,0,0,0,0,4,7,10,3,2,1,1,0,0,6,10,11,13,20,4,12,0,11,0,0,0,0,0,1,6,2,2,2,1,15,0,6,2,16,0,15,0,1,12,20,7,3,8,6,14,10,0,20,6,12,9,13,12,13,13,7,2,5,0,7,7,0,8,17,13,14,8,16,19,4,1,9,17,11,4,7,19,0,12,14,10,5,5,13,7,14,1,12,1,6,0,14,0,8,11,7,0,1,9,7,19,4,9,5,14,0,7,9,0,0,8,13,12,5,11,8,7,8,13,10,6,6,11,18,14,5,4,10,6,1,6,6,2,8,5,7,9,0,15,9,10,15,2,0,0,0,0,15,12,10,3,0,1,11,17,6,0,1,0,0,0,20,10,0,1,0,0,0,7,0,22,0,7,0,1,0,1,20,0,3,1,0,7,0,7,11,0,5,10,0,0,0,13,1,0,5,25,2,1,0,0,4,0,0,9,0,0,0,14,8,5,10,0,0,0,0,0,0,13,6,0,0,0,0,2,4,6,11,9,11,5,0,2,22,6,0,0,0,6,1,0,0,8,9,0,9,1,5,0,0,0,1,0,0,0,0,5,6,1,1,8,16,0,13,0,0,1,9,0,6,1,1,11,11,7,0,0,12,8,15,0,0,8,2,3,0,0,13,0,9,17,8,8,0,0,7,5,2,0,0,1,0,18,15,5,33,0,16,6,14,7,0,0,0,0,15,0,0,0,4,0,5,0,0,0,0,0,0,0,6,1,0,11,15,4,3,0,5,0,10,0,0,0,0,16,18,14,0,0,12,1,3,14,0,11,3,1,1,2,0,15,6,15,10,7,0,8,0,10,13,12,10,11,2
"cell65",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,24,30,13,11,8,14,22,18,9,15,2,35,3,1,0,0,7,1,6,2,25,0,0,6,0,9,21,2,13,18,0,37,0,0,13,25,16,8,6,11,12,8,0,15,16,15,18,7,10,24,6,7,7,7,0,15,10,1,20,18,17,8,13,19,14,24,1,22,23,12,5,21,21,0,17,40,13,20,13,20,10,20,0,23,3,15,2,10,0,23,11,19,0,0,15,1,20,12,31,0,1,0,7,9,15,0,15,18,16,18,22,11,14,0,21,11,18,14,6,21,24,15,3,12,9,3,14,16,0,10,14,6,21,0,27,14,0,0,1,4,3,8,3,13,14,12,20,0,20,2,9,4,6,10,6,10,8,11,2,0,16,6,9,18,13,0,29,0,0,2,10,0,0,24,0,0,0,0,3,0,18,22,6,12,11,8,4,9,18,0,8,14,9,11,12,17,5,14,14,11,12,11,6,2,8,2,9,40,3,1,7,2,6,19,15,14,5,9,0,0,12,2,11,7,17,15,9,0,0,15,16,3,1,1,1,5,8,3,10,9,5,6,8,2,11,3,7,6,12,15,3,4,13,0,5,1,19,12,16,8,4,9,9,1,0,31,11,5,0,16,17,0,2,16,14,21,0,0,9,23,13,9,3,8,3,12,15,27,15,10,10,15,10,19,2,2,10,0,22,18,3,21,7,23,4,20,15,2,7,1,1,12,0,2,0,25,6,8,2,10,2,10,0,4,0,9,1,0,15,4,0,5,0,10,0,19,4,0,10,0,1,8,17,0,22,0,0,17,14,5,18,28,13,11,3,22,27,17,17,13,15,0,14,0,22,30,28,31,6,0
"cell66",0,0,0,0,0,0,0,0,0,0,0,18,11,5,8,0,0,0,0,0,0,0,0,6,1,1,2,0,5,0,19,0,0,0,7,0,6,11,0,7,27,0,11,0,0,11,0,0,11,1,5,8,0,0,0,1,0,9,9,0,0,0,4,5,0,0,0,19,0,15,5,0,12,0,1,3,0,0,1,0,0,11,0,0,1,0,6,0,17,11,1,1,0,0,19,0,0,18,0,18,0,11,0,10,0,0,0,9,18,3,0,0,0,0,14,4,7,0,0,0,21,0,0,0,2,0,8,0,23,0,3,0,0,0,1,0,8,0,0,0,5,0,4,11,0,0,0,0,7,17,9,21,14,13,0,0,0,0,1,11,16,0,4,0,3,18,25,0,0,0,0,0,12,28,0,1,0,0,0,20,0,2,9,5,0,0,0,14,0,23,20,8,4,7,10,6,4,0,0,0,0,0,0,20,8,0,9,16,0,0,0,0,0,0,0,0,0,0,0,14,29,1,0,0,0,0,0,0,0,25,3,0,0,13,17,0,21,0,0,0,0,0,8,9,0,0,0,0,0,14,0,0,0,18,14,0,0,0,8,0,0,0,0,0,0,0,0,0,10,0,0,0,9,0,14,0,0,0,12,0,0,0,0,18,0,1,23,8,0,0,0,17,14,2,0,0,0,0,11,0,8,13,2,14,0,0,0,20,0,0,0,0,0,16,14,2,9,3,17,6,10,12,0,0,0,0,18,0,0,0,0,0,20,0,0,0,0,0,0,0,7,0,14,5,18,12,15,5,0,13,0,14,0,0,15,23,0,24,7,0,14,3,13,8,0,11,0,0,0,16,0,1,0,3,7,16,0,11,0,12,10,16,18,7,2
"cell67",3,1,3,2,0,2,0,0,0,1,0,0,0,0,0,22,32,23,22,36,23,13,13,12,13,6,13,10,2,0,0,52,1,9,0,15,2,4,7,0,1,13,6,14,24,0,8,0,0,29,22,28,13,13,9,10,14,0,22,25,20,22,23,19,17,13,18,3,20,1,8,19,6,9,28,15,21,14,18,24,17,2,8,17,17,4,14,11,0,16,14,14,11,18,29,17,39,2,23,11,20,6,12,1,4,6,12,0,5,15,22,14,5,30,3,0,1,12,10,5,2,10,27,12,17,19,14,15,3,14,6,9,21,9,22,16,16,8,11,7,4,7,18,1,15,8,11,25,0,9,15,0,0,2,6,5,16,7,4,25,4,23,0,10,0,2,1,13,13,4,17,7,1,0,3,26,13,25,7,14,14,1,0,0,16,20,5,0,26,0,0,0,0,8,3,10,8,21,24,16,27,6,22,1,0,19,0,0,11,10,11,17,19,22,24,13,32,6,12,7,1,10,24,4,10,21,12,12,19,2,21,13,20,0,3,19,8,17,8,15,13,18,0,0,26,16,22,13,14,2,16,17,5,3,0,4,13,11,0,24,15,21,5,15,18,17,14,30,0,7,7,19,1,31,0,21,16,16,1,7,18,26,9,0,13,15,0,6,17,12,12,0,1,11,17,17,13,29,5,4,2,8,11,8,18,13,17,0,28,13,22,9,12,16,12,14,0,19,13,15,3,13,9,11,5,4,0,5,16,7,19,20,1,17,13,12,6,9,9,11,0,10,4,19,0,0,17,0,8,5,0,0,6,7,0,0,22,18,0,16,0,0,9,2,23,15,24,17,7,10,17,20,23,13,20,10,0,13,0,11,23,22,33,14,0
"cell68",0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,12,19,12,2,13,15,8,11,3,21,8,19,0,5,0,0,1,0,2,1,10,0,4,9,1,10,3,0,2,15,0,19,0,3,10,21,12,11,8,8,13,9,0,19,5,4,18,16,8,17,7,4,1,2,0,10,10,0,12,12,11,15,13,5,18,11,3,29,13,11,10,14,19,0,12,36,15,8,16,27,13,24,0,8,1,6,0,18,0,7,11,10,0,3,13,6,12,4,22,0,6,0,6,15,19,0,6,15,16,19,18,4,7,3,15,7,18,9,12,11,13,16,15,8,6,3,10,18,0,13,14,11,21,0,17,12,1,0,0,0,0,0,1,12,15,9,25,0,3,9,18,1,3,2,0,0,0,18,9,0,13,1,2,2,10,0,12,0,0,0,8,0,0,19,0,0,2,0,14,0,10,18,7,10,2,5,0,3,27,0,0,16,30,5,8,3,2,13,4,1,15,2,5,0,17,8,21,17,1,0,0,0,0,4,13,16,1,4,0,0,16,2,8,6,9,22,12,0,0,16,7,0,0,0,7,3,0,0,5,9,1,13,1,8,2,0,1,0,0,5,0,0,9,1,4,0,17,15,0,26,3,5,2,3,0,6,5,5,0,7,12,0,0,18,16,14,0,0,15,4,11,0,0,12,3,14,10,23,11,1,2,8,22,5,0,3,2,0,14,11,4,18,0,19,8,14,13,2,1,0,3,13,0,0,0,12,2,6,0,1,1,3,0,5,0,18,0,0,6,21,0,0,0,7,0,17,4,0,2,0,13,28,14,0,11,0,0,4,14,0,6,16,11,2,1,5,15,5,13,19,18,0,18,0,11,3,26,20,7,1
"cell69",0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,8,10,5,2,13,11,12,7,5,15,7,12,1,25,0,0,0,1,5,3,17,1,3,9,0,9,5,3,0,18,0,17,0,1,16,17,10,3,8,4,19,13,0,21,10,19,18,13,17,16,11,17,4,7,0,14,23,1,6,14,9,13,18,20,15,14,1,16,19,17,6,14,19,0,14,25,9,16,5,38,3,27,0,14,3,15,0,9,0,6,19,19,0,0,14,9,12,6,19,2,4,0,12,10,6,0,9,21,22,24,15,12,9,0,16,15,14,11,2,10,15,9,9,9,11,0,9,13,0,16,13,17,27,0,22,17,0,0,11,3,0,0,1,13,22,16,24,0,3,15,11,13,2,4,0,0,0,11,14,1,7,2,0,3,20,0,11,1,2,0,5,0,0,25,0,0,0,0,15,0,10,19,11,14,8,3,0,3,8,0,0,12,13,5,11,0,4,16,7,3,8,4,3,0,21,14,12,10,0,0,3,0,1,6,15,22,1,10,0,0,15,0,11,2,7,23,9,1,1,16,7,0,0,0,12,3,0,0,12,19,1,7,1,7,1,0,0,3,4,3,0,1,5,0,5,2,13,13,3,12,0,1,0,6,0,9,3,5,0,14,15,0,0,13,9,15,1,0,6,6,5,6,1,5,4,11,14,21,9,1,1,8,14,5,0,0,5,0,19,7,2,18,2,28,11,16,20,0,2,0,4,20,0,0,0,16,4,8,1,0,0,0,0,1,0,10,0,0,8,8,0,5,0,5,0,21,4,0,5,0,19,20,13,0,20,0,0,2,4,1,11,8,8,3,4,2,11,11,14,19,14,0,12,0,22,13,22,11,5,0
"cell70",29,18,22,30,17,30,18,23,12,34,21,0,0,0,0,15,45,29,5,22,1,2,0,0,0,21,28,18,0,0,0,42,16,14,0,20,2,3,21,0,3,28,2,18,27,0,35,0,0,26,39,27,20,12,17,30,13,0,24,20,10,45,24,26,37,7,13,14,18,0,24,24,0,19,32,20,18,31,36,43,16,2,40,22,18,13,16,30,0,36,28,19,29,23,47,27,49,0,33,0,31,0,40,0,17,16,21,0,2,13,15,20,24,30,0,0,0,20,25,16,0,10,43,49,36,31,26,36,1,19,21,19,18,12,46,18,15,9,9,17,0,16,31,0,11,20,26,42,0,36,31,0,0,0,10,6,31,23,0,0,0,31,0,16,0,0,0,31,18,17,16,13,0,0,15,30,21,21,24,0,12,0,0,0,25,33,15,0,41,0,0,0,0,7,0,0,0,30,27,21,22,10,20,0,0,47,0,0,14,32,19,21,26,41,33,23,28,22,17,0,0,29,31,9,8,29,17,18,15,0,35,15,29,0,0,23,1,29,28,9,28,27,0,0,18,21,36,21,31,0,49,48,17,0,0,13,22,37,0,28,24,33,13,22,34,12,17,15,0,14,28,54,0,50,0,41,17,19,2,13,28,33,16,0,0,0,38,40,0,0,0,13,33,0,22,25,24,42,0,13,2,13,35,5,25,39,21,0,43,20,21,14,22,0,0,21,0,17,0,0,0,0,17,27,17,16,0,16,10,21,48,16,0,14,9,20,17,6,10,22,0,13,38,0,0,0,0,1,13,0,19,4,32,12,0,0,35,5,0,16,0,4,10,1,15,18,18,17,22,40,30,35,29,14,25,38,0,24,0,14,34,42,34,6,4
"cell71",36,34,35,18,20,43,21,33,22,26,32,0,0,0,0,17,55,42,15,46,11,2,0,0,0,32,33,32,0,0,0,48,13,9,0,39,0,0,30,0,14,27,3,20,32,0,29,0,0,27,35,38,22,19,22,23,13,0,45,36,40,31,31,29,42,38,31,4,16,0,13,39,0,23,54,40,22,30,30,50,15,0,42,39,33,9,46,39,0,32,47,28,17,36,49,28,61,0,14,0,36,0,38,0,42,29,19,0,0,30,24,40,22,38,2,3,0,30,30,28,0,21,28,44,28,49,15,27,1,26,20,20,24,30,46,37,10,19,26,26,0,24,28,0,26,61,24,47,0,38,28,0,0,0,16,28,47,24,0,0,0,24,4,13,0,9,0,23,13,23,29,25,0,0,38,33,29,32,33,2,31,1,0,0,51,40,18,0,38,0,0,0,0,17,0,5,0,41,41,30,32,18,27,0,0,38,0,1,25,21,36,22,54,60,33,23,41,13,24,7,0,14,42,18,20,34,10,20,20,0,44,27,19,1,1,39,3,11,13,16,37,26,0,0,30,16,44,32,47,0,42,50,11,3,0,21,27,36,0,44,38,43,34,47,43,26,31,49,0,11,35,58,5,35,0,62,36,30,0,22,26,30,25,0,0,0,65,19,0,0,0,28,22,0,65,34,22,36,0,25,0,1,40,1,25,28,55,0,52,32,40,41,11,0,0,20,0,33,0,0,0,0,20,28,8,22,0,16,29,17,32,31,0,31,22,28,23,19,34,31,0,18,23,0,0,0,0,0,25,0,7,3,13,16,0,0,27,25,2,26,0,0,21,2,31,17,30,15,11,59,37,46,43,35,43,37,0,33,0,21,32,53,43,23,1
"cell72",1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,22,40,23,12,30,23,41,18,18,42,8,24,29,4,0,0,29,9,9,1,20,0,7,11,0,9,25,1,9,24,0,33,0,1,36,31,10,14,15,9,22,10,0,32,15,18,21,11,19,32,24,19,8,4,0,11,29,0,21,49,24,22,34,27,40,18,0,26,23,34,12,27,24,0,44,38,18,10,15,39,14,34,0,22,2,5,4,44,0,15,21,18,0,4,23,28,29,13,31,0,3,0,18,22,20,0,19,35,40,30,34,18,10,0,15,6,22,24,9,26,24,15,12,28,14,0,7,36,3,12,26,17,34,0,27,25,0,0,2,6,17,15,18,17,21,14,16,0,22,0,21,1,15,8,18,22,22,0,5,12,17,10,19,25,13,11,5,0,0,16,31,11,0,34,0,0,0,0,8,12,3,3,31,20,9,22,9,15,6,0,25,4,1,14,14,14,33,33,41,36,15,31,17,13,1,0,24,33,19,9,28,10,6,19,3,36,10,14,4,4,30,9,14,9,12,26,14,0,1,33,15,28,13,26,0,28,29,11,0,0,16,16,18,0,17,14,26,13,33,30,28,19,20,3,14,25,33,4,23,1,47,25,24,8,19,34,33,19,0,21,31,0,2,23,11,21,0,1,21,23,16,15,21,3,10,0,16,30,3,20,23,17,0,40,21,29,22,15,21,17,5,15,16,31,11,18,18,8,22,10,12,0,16,9,9,33,8,1,26,19,19,12,8,21,15,6,6,2,18,1,0,20,0,21,3,0,1,8,18,0,0,28,9,0,29,0,0,17,9,21,21,33,24,8,3,14,30,29,8,18,24,0,16,0,25,18,46,36,19,0
"cell73",3,6,4,4,5,0,3,12,1,6,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,4,15,5,16,15,0,7,15,12,11,1,0,30,0,0,7,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,4,0,0,11,0,10,0,8,15,0,0,0,0,0,0,0,0,10,0,0,6,0,3,0,7,11,0,0,0,0,3,0,0,14,0,12,0,11,0,9,0,0,0,12,13,0,0,0,0,0,9,1,6,0,0,0,13,0,7,13,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,6,8,0,10,0,0,0,0,6,4,11,17,5,5,0,3,0,5,0,3,0,0,4,0,6,11,6,3,5,1,0,0,12,8,0,11,0,2,8,13,0,6,2,0,0,6,2,7,0,22,14,13,16,9,11,7,4,0,1,0,1,0,0,17,6,0,4,23,1,5,0,3,5,3,2,10,0,7,0,10,4,6,10,0,1,0,0,0,1,17,8,0,3,8,9,0,19,0,0,6,0,0,25,7,0,0,1,0,1,11,1,0,0,13,11,1,7,1,5,4,0,1,0,1,2,0,0,7,3,0,1,9,15,0,14,0,1,0,9,0,5,3,1,15,0,0,16,12,0,0,0,5,7,0,17,11,3,0,6,5,5,25,21,2,3,1,13,10,2,4,2,5,0,0,3,7,0,9,1,0,0,0,5,5,0,2,8,2,0,1,20,4,0,0,3,5,8,1,6,2,6,4,16,0,5,8,12,15,1,9,0,22,0,1,12,14,0,24,8,0,15,7,8,19,0,0,3,0,0,12,1,0,8,2,7,11,0,10,0,9,9,16,12,11,1
"cell74",42,40,32,47,24,50,21,32,23,37,26,0,0,0,0,32,54,76,24,56,22,28,6,4,3,33,74,24,1,0,0,66,27,15,0,24,0,5,30,0,4,48,8,39,36,0,52,1,0,36,62,55,20,25,18,27,47,0,34,22,51,59,30,34,52,26,31,9,13,0,40,52,0,41,41,44,76,62,34,71,15,1,69,42,51,27,32,34,0,41,76,31,36,39,77,43,90,3,43,0,43,0,45,0,28,37,37,0,4,41,20,65,12,58,0,0,0,50,27,17,2,30,60,56,76,36,28,53,3,37,42,40,40,43,63,33,22,33,19,29,5,36,40,0,26,61,59,54,0,44,42,0,0,0,18,17,34,18,0,18,0,66,0,18,0,1,3,41,18,35,37,31,0,0,37,48,22,33,42,0,28,0,2,0,21,47,20,0,70,0,0,0,0,24,0,5,0,46,49,55,42,26,37,1,0,49,0,0,32,45,51,46,33,41,57,37,48,13,15,2,0,36,57,19,13,47,16,29,36,0,65,48,49,0,7,47,3,48,24,35,57,31,0,0,52,36,67,46,36,0,65,58,29,1,0,32,35,53,2,32,56,74,23,36,46,20,34,40,0,31,38,81,0,30,0,58,33,29,0,31,50,52,38,0,17,10,21,55,23,11,5,9,11,18,58,34,28,55,2,27,1,10,41,1,44,50,28,0,60,38,31,38,20,0,3,24,0,37,0,0,0,0,18,35,18,27,0,29,24,24,62,36,2,47,29,54,31,22,34,28,0,29,26,13,0,0,0,3,19,0,17,12,24,26,0,0,83,20,0,27,0,0,22,2,41,40,34,22,21,55,48,73,49,47,30,43,0,34,0,42,35,70,72,11,11
"cell75",14,30,21,42,8,29,13,14,17,17,24,0,0,0,0,47,78,45,34,52,62,68,23,29,12,28,47,16,0,0,0,85,19,21,0,44,0,8,32,0,8,72,5,41,71,0,65,0,2,49,58,46,36,8,19,41,20,0,70,33,53,54,59,31,64,25,26,8,19,0,49,54,0,37,61,54,47,66,67,80,10,0,74,73,59,28,82,45,0,53,114,44,55,33,76,41,92,0,57,5,47,0,51,0,40,42,36,0,2,50,36,58,43,109,3,0,0,30,60,40,0,36,55,71,85,57,33,28,0,56,55,60,51,47,77,54,50,21,40,52,0,51,75,0,55,56,41,67,0,61,93,0,0,0,19,39,74,22,4,38,16,57,0,33,0,0,0,46,28,17,56,36,0,0,80,59,50,56,27,0,47,6,0,0,37,70,13,0,99,0,0,0,0,20,0,4,4,76,43,34,63,22,38,6,0,47,6,0,40,21,37,50,46,44,74,48,61,53,43,13,4,54,67,9,33,36,16,36,38,0,62,49,59,7,1,68,0,44,26,28,47,47,0,0,58,45,51,50,31,0,82,72,11,0,0,23,34,23,0,82,47,66,44,51,59,71,54,66,0,31,44,81,5,67,0,80,25,46,0,41,78,69,14,0,13,37,21,27,31,27,36,6,15,33,58,28,28,72,0,32,1,11,75,5,71,54,55,0,90,40,42,34,34,25,23,43,0,56,0,0,0,0,28,45,18,11,0,36,59,36,83,38,0,23,29,18,42,17,57,40,0,37,38,45,0,0,0,0,19,0,42,8,37,12,0,0,44,40,0,51,0,0,12,2,57,52,76,73,31,67,61,60,69,40,63,63,0,43,0,58,59,72,68,28,7
"cell76",0,0,0,0,0,0,0,0,0,0,0,3,5,1,5,2,2,3,0,6,15,15,10,8,23,9,12,0,11,0,0,0,0,0,0,13,0,1,16,4,16,4,0,0,17,3,12,0,1,30,20,19,7,8,12,8,7,0,19,10,7,21,12,13,11,10,4,3,7,0,9,18,0,10,21,8,10,14,18,19,3,0,12,11,12,4,21,12,0,24,17,5,10,14,20,13,22,0,11,0,8,1,17,0,10,10,12,0,0,16,5,16,8,14,0,5,0,5,17,5,0,3,14,23,15,12,5,12,0,12,10,5,22,9,22,13,9,12,10,9,0,3,12,0,16,13,8,9,0,19,18,5,5,3,0,0,0,0,13,16,11,16,0,4,7,9,6,0,4,0,1,0,14,11,0,8,0,1,3,5,0,12,0,3,0,9,0,0,30,0,0,0,0,7,1,12,17,1,7,0,0,0,0,15,0,0,14,15,3,2,3,0,7,0,0,10,0,2,0,24,15,9,8,0,1,1,0,0,1,7,9,0,3,0,0,19,2,9,8,18,13,12,0,2,20,17,0,0,0,5,2,1,0,5,11,0,4,0,8,0,0,0,3,1,2,0,0,6,5,3,0,11,13,2,22,1,1,0,5,0,3,2,3,0,9,8,1,2,12,10,3,0,0,9,2,5,0,0,11,1,11,13,19,13,0,0,1,24,3,0,0,3,0,15,10,6,22,0,20,13,14,15,0,0,0,0,24,0,0,0,9,2,10,0,0,0,3,0,0,0,19,0,0,7,7,0,0,0,9,0,4,1,0,0,0,22,21,24,0,3,1,2,3,13,0,11,14,3,10,0,3,13,3,10,19,19,0,16,0,8,15,28,14,1,2
"cell77",3,6,6,9,0,6,1,3,4,1,1,0,0,0,0,14,36,28,12,17,19,19,12,13,29,4,25,16,5,0,0,34,8,12,1,14,1,7,17,0,3,23,4,13,29,0,20,1,0,14,16,14,10,11,5,17,23,0,32,12,13,22,18,13,48,13,11,1,5,3,18,34,0,24,26,10,22,27,22,37,13,4,18,24,19,11,19,19,0,25,36,15,15,18,42,14,26,1,14,1,10,4,26,1,13,10,22,0,3,15,21,27,7,21,3,2,0,12,11,22,0,16,30,31,28,27,17,18,3,18,27,20,12,11,34,9,36,10,10,10,1,21,28,2,16,15,26,20,0,19,13,0,0,0,9,14,25,7,5,13,8,29,0,18,0,8,2,15,9,12,21,20,0,0,14,18,10,8,22,3,13,0,0,0,18,25,11,0,31,1,1,0,0,12,1,6,1,32,25,15,28,14,18,1,0,15,5,3,12,33,22,25,14,32,27,17,33,20,11,2,0,14,24,19,7,14,6,0,25,2,33,15,20,6,8,16,27,14,8,12,16,8,0,0,31,12,28,21,18,0,23,38,10,0,0,22,17,15,0,42,16,28,13,20,32,16,20,23,0,22,22,35,1,18,0,35,21,6,4,17,24,14,19,0,30,16,1,8,11,23,17,0,0,28,25,17,18,27,1,23,0,3,19,5,20,29,24,0,28,15,27,14,6,21,9,5,5,14,10,17,0,14,14,15,10,12,0,10,15,12,37,20,0,25,16,20,11,17,22,12,0,13,8,33,0,0,14,0,22,3,0,0,15,14,0,0,30,19,0,16,0,0,10,5,16,24,32,13,16,4,18,45,14,5,27,27,0,17,0,33,17,23,26,11,0
"cell78",9,4,6,5,0,4,1,2,1,2,1,0,0,0,0,13,26,24,6,14,9,23,9,8,22,14,28,19,7,0,0,34,12,14,1,12,3,11,19,0,5,19,9,17,17,0,18,1,1,20,31,17,10,7,2,15,12,0,40,16,14,22,24,13,43,10,13,4,12,1,26,19,0,17,20,24,17,25,18,34,13,0,18,32,13,8,25,29,0,20,24,18,13,26,32,16,27,2,17,0,14,8,20,0,13,10,20,0,5,11,22,21,10,16,1,0,0,8,16,12,2,10,28,34,30,29,13,18,4,25,15,16,10,12,30,14,27,10,10,10,0,5,14,0,21,22,21,26,0,31,15,0,0,0,12,20,26,5,1,13,3,28,0,11,0,3,0,15,5,20,13,20,0,0,9,16,11,13,19,0,15,0,0,0,13,23,12,1,31,1,0,0,1,1,8,3,0,30,19,20,26,12,20,4,0,17,3,0,11,15,25,29,21,20,24,20,43,11,6,1,0,22,26,17,4,13,4,2,18,3,33,15,13,8,11,19,19,14,12,12,19,11,0,0,20,12,19,22,25,0,31,40,13,0,2,7,25,17,0,26,21,24,11,24,36,11,36,20,0,21,17,28,0,22,0,38,26,11,1,11,16,23,18,0,22,10,5,4,31,9,20,0,2,31,16,16,15,34,0,22,2,4,15,0,23,20,18,0,29,17,19,14,7,14,11,5,3,18,8,5,0,12,7,14,7,5,0,14,21,6,39,14,0,23,20,23,11,8,25,15,1,8,7,19,0,0,21,0,13,4,0,2,18,14,1,0,24,23,1,18,0,0,4,1,20,11,23,20,6,8,21,37,20,8,18,24,0,14,0,29,26,27,30,17,0
